t,S,I,R 
58,0.4517105085880338,0.025180503005432252,0.5231089884065342 
59,0.4483985565541794,0.02358643082505115,0.5280150126207697 
60,0.4453197810984589,0.022071979574641704,0.5326082393268996 
61,0.44245911970624147,0.0206362671840258,0.5369046131097329 
62,0.43980226276512796,0.019277888794223624,0.5409198484406486 
63,0.4373356602812299,0.01799500953220144,0.5446693301865689 
64,0.43504650656547716,0.016785453229966805,0.5481680402045562 
65,0.43292272955500366,0.015646777494435937,0.5514304929505606 
66,0.4309529683531465,0.014576340972284326,0.5544706906745693 
67,0.4291265500929934,0.013571360517590537,0.5573020893894162 
68,0.4274334643810306,0.012628961869764985,0.5599375737492045 
69,0.4258643331449157,0.011746220747342325,0.562389446107742 
70,0.4244103835792041,0.010920199906198113,0.5646694165145978 
71,0.42306341621762333,0.010147977420971815,0.5667886063614048 
72,0.42181577615635846,0.00942667189350257,0.5687575519501389 
73,0.42066032296227274,0.008753462161818904,0.5705862148759083 
74,0.4195904004945636,0.008125601166512111,0.5722839983389243 
75,0.4185998098752533,0.007540430416089654,0.573859759708657 
76,0.41768278131030323,0.006995387403449948,0.5753218312862468 
77,0.41683394758522235,0.006488013035841324,0.5766780393789362 
78,0.4160483184004931,0.006015954650343141,0.5779357269491636 
79,0.4153212564647633,0.005576969748036664,0.5791017737872 
80,0.41464845423303187,0.005168925716278523,0.5801826200506895 
81,0.4140259121910141,0.00478980052602487,0.5811842872829609 
82,0.4134499181900226,0.004437680432722638,0.5821124013772546 
83,0.4129170278424591,0.004110758611793731,0.582972213545747 
84,0.41242404621858497,0.0038073315808454656,0.5837686222005696 
85,0.4119680106702633,0.0035257965632978488,0.5845061927664389 
86,0.41154617452951303,0.0032646473904573824,0.5851891780800296 
87,0.4111559919547908,0.0030224713031163732,0.5858215367420928 
88,0.4107951039185665,0.0027979431205021727,0.5864069529609313 
89,0.41046132528070517,0.002589822346298395,0.5869488523729964 
90,0.4101526316410815,0.002396950090906726,0.5874504182680117 
91,0.4098671463668625,0.002218242583173289,0.5879146110499642 
92,0.4096031349182073,0.0020526886922503035,0.5883441763895424 
93,0.4093589879541058,0.0018993449800885679,0.5887416670658057 
94,0.409133217312732,0.0017573321643346502,0.5891094505229334 
95,0.4089244458542047,0.0016258310924344242,0.589449723053361 
96,0.40873139643716033,0.0015040788958221715,0.5897645246670176 
97,0.40855289074721024,0.0013913664508300517,0.5900557428019598 
98,0.40838783500716463,0.0012870335870592117,0.5903251314057762 
99,0.4082352193540675,0.0011904672557850613,0.5905743133901475 
100,0.40809410862346424,0.0011010975937212654,0.5908047937828146 
101,0.4079636370803636,0.0010183952296295938,0.591017967690007 
102,0.40784300591914546,0.0009418693627266373,0.5912151247181281 
103,0.4077314723899842,0.000871063146751189,0.5913974644632648 
104,0.4076283518903677,0.0008055536471678762,0.5915660944624646 
105,0.4075330120999694,0.0007449488820122155,0.5917220390180186 
106,0.407444865289332,0.0006888842062006342,0.5918662505044675 
107,0.40736337073402484,0.0006370228051726511,0.5919996064608026 
108,0.40728802718286367,0.0005890519615561173,0.5921229208555803 
109,0.407218369709575,0.0005446812689929467,0.5922369490214323 
110,0.407153971048595,0.0005036429254249015,0.5923423860259803 
111,0.40709443407888013,0.00046568787593131154,0.5924398780451888 
112,0.4070393915711588,0.0004305854551994849,0.5925300229736419 
113,0.4069885055874518,0.00039812288067216426,0.5926133715318762 
114,0.4069414617991675,0.0003681021768699884,0.5926904360239627 
115,0.406897970293593,0.0003403404457811594,0.592761689260626 
116,0.4068577636621265,0.0003146687187334989,0.5928275676191401 
117,0.40682059318104463,0.00029092980119513855,0.5928884770177603 
118,0.4067862303411466,0.00026897901683310053,0.5929447906420203 
119,0.40675446326205744,0.0002486821376450436,0.5929968546002976 
120,0.4067250953191771,0.00022991453619945277,0.5930449901446235 
121,0.4066979446965121,0.00021256089767610298,0.5930894944058118 
122,0.40667284393839076,0.00019651493099333248,0.593130641130616 
